Banana,Coco,Mamão,Manga,Maracujá,Abóbora,Berinjela,Beterraba,Brócolis,Cebola,Cenoura,Chuchu,Gengibre,Mandioca,Pepino,Pimentão,Tomate,Organico
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.0,0.14,0.0,1
0.08,0.08,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0
0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,1
0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,1
0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0
0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.09,0.09,0
0.07,0.07,0.0,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0
0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1
0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0
0.0,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0
0.17,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.17,0
0.08,0.08,0.08,0.08,0.0,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.17,0.17,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.08,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.0,0.08,0
0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0
0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0
0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,1
0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0
0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.11,0.11,0.11,0.0,1
0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0
0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.08,0.08,1
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0
0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0
0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.14,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.0,0.08,0.08,0.0,0.08,0.0,0.08,0
0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.0,0
0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.0,1
0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.0,0.07,0.07,0.07,0.07,1
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0
0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1
0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,1
0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,1
0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0
0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0
0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0
0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0
0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,1
0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0
0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0
0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0
0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1
0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0
0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0
0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.09,1
0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0
0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,1
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0
0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,1
0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0
0.08,0.0,0.08,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0
0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0
0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0
0.0,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0
0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0
0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,1
0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0
0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
0.17,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0
0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0
0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0
0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.11,1
0.07,0.0,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,1
0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0
0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0
0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0
0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0
0.0,0.0,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0
0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0
0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0
0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,1
0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0
0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0
0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.0,1
0.0,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0
0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.0,1
0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0
0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0
0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0
0.08,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0.08,0
0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.0,1
0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.0,0.0,0.08,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0
0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.17,0.0,0.17,0.0,0
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0
0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0
0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.14,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0
0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,1
0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1
0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0
0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0
0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.12,0
0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0
0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,1
0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.14,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,1
0.09,0.0,0.0,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0
0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.17,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0
0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0
0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0
0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0
0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0
0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0
0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0
0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,1
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0
0.0,0.14,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.0,0
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0
0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0
0.0,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0
0.09,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0
0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.17,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0
0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0
0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0
0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0
0.14,0.14,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,1
0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0
0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.09,0.09,0
0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.09,0
0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,1
0.17,0.0,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0
